EQUIPO,CATEGORIA,JUGADOR
ARMADA,oficiales,Juan Pérez
ARMADA,oficiales,Carlos López
ARMADA,oficiales,Miguel Sosa
ARMADA,oficiales,Fernando Díaz
ARTILLERÍA,oficiales,Pedro Martínez
ARTILLERÍA,oficiales,Luis González
ARTILLERÍA,oficiales,Andrés Romero
CABALLERÍA,femenino,María García
CABALLERÍA,femenino,Ana Torres
CABALLERÍA,femenino,Laura Díaz
CABALLERÍA,femenino,Sofía Núñez
INFANTERÍA,femenino,Patricia Rojas
INFANTERÍA,femenino,Claudia Méndez
INFANTERÍA,femenino,Valeria Cruz
COMUNICACIONES,suboficiales,Roberto Silva
COMUNICACIONES,suboficiales,Diego Fernández
COMUNICACIONES,suboficiales,Mario Ruiz
INGENIERÍA,suboficiales,Héctor Vargas
INGENIERÍA,suboficiales,Raúl Morales
INGENIERÍA,suboficiales,Sergio Peña
